bit_width_lambda,accuracy_mean,accuracy_std,bit_operations_mean,bit_operations_std,average_bit_width_mean,average_bit_width_std
-1e-08,66.7231638418079,9.74999336198002,12026897046.666668,1458060342.932197,7.225,0.22912878474779197
0.0,69.95581631174852,5.462497693332816,12089744053.333332,1362249404.5375686,7.3,0.28062430400804556
0.125,70.11878893234825,5.02831119070366,9279051208.0,725284914.8194681,5.0875,0.21686689466121842
0.25,70.12675648268868,4.8989178192339535,8741838680.0,712443155.9370775,4.9375,0.32715630820756003
0.375,71.82022309140953,5.2783206440056905,9097024984.0,596752802.2256604,5.0125,0.27641680484369974
0.5,70.80254961610893,3.1647550391477233,9209202824.0,860397135.0194677,4.9875,0.20501524333570909
0.625,69.35607706794147,10.318767729199461,8774423416.0,1032757929.6417185,4.7875,0.42591812593502054
0.75,73.68028393452123,6.900021202421513,8921441920.0,663966467.7105803,4.8875,0.29288436284649955
0.875,72.15920614225698,2.4176718623568987,8982785256.0,1290654632.966255,4.9375,0.31746062748000736
1.0,69.61683326090106,10.805110838102062,9025922400.0,782577031.21143,4.9125,0.2168668946612184
