bit_width_lambda,accuracy_mean,accuracy_std,bit_operations_mean,bit_operations_std,average_bit_width_mean,average_bit_width_std
-1e-08,74.03673469387755,5.643864913515898,1276378794.6666665,39471241.471471526,7.8375,0.15860721925561902
0.0,71.60408163265308,6.2322146779257706,1286597248.0,54724591.26563307,7.9125,0.12562344526401112
0.125,72.8,5.699052582069629,1232948394.6666665,47971920.32334638,7.0625,0.1505199322349037
0.25,73.05306122448981,7.260736925962703,1210599872.0,62349939.23726927,6.7625,0.22672946434021318
0.375,69.5673469387755,6.101821032148641,1167983104.0,58570449.31725035,6.65,0.22912878474779202
0.5,71.6,4.0738619908141125,1141265472.0,68927477.50760081,6.5,0.30618621784789724
0.625,72.60408163265306,4.947295737104333,1080293888.0,92602326.48506589,6.3,0.4153311931459037
0.75,72.21224489795918,5.427613848334326,1089095968.0,80812100.60602881,6.2,0.3588175023601831
0.875,70.98367346938775,5.1629813586519555,1092640960.0,62182266.464088485,6.225,0.3
1.0,69.60816326530612,7.34621765168461,1065107840.0,52886493.18562333,5.9625,0.2741464024932664
