bit_width_lambda,accuracy_mean,accuracy_std,bit_operations_mean,bit_operations_std,average_bit_width_mean,average_bit_width_std
-1e-08,44.21401515151515,8.891379827928304,1155477872.0,37344636.17314764,7.9625,0.057282196186948006
0.0,46.72348484848485,6.934534366003116,1155477872.0,37425135.59710829,7.9875,0.0375
0.125,44.84848484848485,7.332774717328797,1153315184.0,36527543.23706096,7.3875,0.21250000000000002
0.25,47.93560606060606,7.600551284014643,1141449072.0,34369175.29195551,7.225,0.05
0.375,45.46401515151515,4.4377327956629475,1153282416.0,42889346.65363074,7.225,0.075
0.5,47.32954545454545,7.832051980365074,1150618256.0,62592196.59530034,7.1375,0.20501524333570909
0.625,45.78598484848485,3.5700255201030884,1138784912.0,51938117.3087405,7.1625,0.14842927608797396
0.75,47.06439393939394,4.037690455554516,1134708192.0,63235805.44149403,7.125,0.22360679774997896
0.875,46.70454545454545,4.738786241362054,1143077216.0,68075657.12348713,7.075,0.26339134382131846
1.0,47.02651515151515,6.4937821234791695,1138932368.0,84902824.69464216,7.0375,0.3667850187780302
