bit_width_lambda,accuracy_mean,accuracy_std,bit_operations_mean,bit_operations_std,average_bit_width_mean,average_bit_width_std
-1e-08,71.59267830843677,4.649985758407503,1712496122.6666665,201048922.38634574,7.7875,0.22395591083961147
0.0,72.0923627182832,5.072906965649579,1686172160.0,202171694.39263967,7.75,0.16770509831248423
0.125,72.71723122238586,4.129483057060339,1394000106.6666665,214020893.7104408,6.125,0.375
0.25,73.12329055333473,5.49781125525498,1353193536.0,182152179.19361672,5.8125,0.2452677108793573
0.375,72.72354302545762,5.308125584494172,1307673920.0,146792194.0484092,5.5375,0.1772180859844728
0.5,71.08037029244687,5.939784257590638,1329193536.0,156586284.97974172,5.575,0.210653744329409
0.625,71.48642962339575,4.9075554227804075,1237033536.0,160723850.02465165,5.4625,0.16817030058842136
0.75,72.72880286135072,6.1091479327845235,1256065312.0,154488831.77245542,5.3875,0.14197270864500683
0.875,71.68735535451295,4.798375519953291,1279783232.0,150616927.07998532,5.4375,0.1956559480312316
1.0,72.82453187460551,5.232263202658432,1259385152.0,144570267.30187625,5.425,0.16007810593582122
