bit_width_lambda,accuracy_mean,accuracy_std,bit_operations_mean,bit_operations_std,average_bit_width_mean,average_bit_width_std
-0.01,78.35000455379486,0.2974890716579895,10341480832.0,0.0,8.0,0.0
-0.015,78.29000413417816,0.38065724817719904,10341480832.0,0.0,7.911111111111111,0.2666666666666668
-0.02,78.45000326633453,0.4695739416971501,10341480832.0,0.0,8.0,0.0
-0.025,78.44000339508057,0.2973219574412825,10341480832.0,0.0,7.8,0.30550504633038944
-0.03,78.36000382900238,0.21540647541161848,10341480832.0,0.0,7.911111111111111,0.17777777777777787
-0.035,78.39000463485718,0.4299998837874138,10341480832.0,0.0,7.955555555555556,0.1333333333333334
-0.04,78.22000443935394,0.38157601647509093,10341480832.0,0.0,7.955555555555556,0.1333333333333334
-0.045,78.32000315189362,0.39949970597008283,10341480832.0,0.0,7.911111111111111,0.17777777777777787
-0.05,78.33000421524048,0.31638577980623944,10341480832.0,0.0,7.955555555555556,0.1333333333333334
-0.055,78.17000329494476,0.41964301231237916,10341480832.0,0.0,8.0,0.0
-0.06,78.4300035238266,0.3348133428344197,10341480832.0,0.0,7.488888888888889,0.3981438414926426
-0.065,78.47000360488892,0.26095921665273486,10341480832.0,0.0,8.0,0.0
-0.07,78.38000357151031,0.42379240291064574,10341480832.0,0.0,7.6,0.32659863237109055
-0.075,78.20000350475311,0.16124529692474748,10341480832.0,0.0,8.0,0.0
-0.08,78.35000395774841,0.24186745250363215,10341480832.0,0.0,8.0,0.0
-0.085,78.36000382900238,0.4409085064852555,10341480832.0,0.0,8.0,0.0
-0.09,78.29000353813171,0.28442909078832146,10341480832.0,0.0,8.0,0.0
-0.095,78.10000360012054,0.2898272996578673,10341480832.0,0.0,7.955555555555556,0.1333333333333334
-0.1,78.37000370025635,0.45398253375632375,10341480832.0,0.0,7.933333333333333,0.2000000000000001
0.0,78.51000487804413,0.44147446377891725,10341480832.0,0.0,7.4,0.4974006507910974
0.005,78.13000440597534,0.8402983453553777,10341480832.0,0.0,7.0,0.2854496128592249
0.01,78.4900039434433,0.4253230035470044,10341480832.0,502458755.7293265,6.844444444444444,0.4745368112013915
0.015,78.07000517845154,0.8210360685322529,10250705280.0,843809123.3323522,6.4,0.36918328279635904
0.02,78.08000445365906,0.3994995866143601,8568187946.666667,504755200.0000002,5.7333333333333325,0.1333333333333334
0.025,77.52000331878662,0.6954144496306865,8568187946.666667,771026303.8075249,5.644444444444444,0.2036700308869263
0.03,77.47000455856323,0.5478134538271743,7726929280.0,841258666.6666671,5.688888888888888,0.3471222078180737
0.035,76.98000431060791,0.46216865362049375,6885670613.333333,771026303.8075249,5.6,0.36918328279635904
0.04,77.07000434398651,0.7156111256290676,6885670613.333333,504755200.0000002,5.5777777777777775,0.39063101847215453
0.045,76.8800038099289,0.4915282550994235,6885670613.333333,0.0,5.4,0.2000000000000001
0.05,76.97000324726105,0.4075534613496617,6885670613.333333,0.0,5.466666666666667,0.2666666666666668
0.055,77.37000405788422,0.6372601966134527,6885670613.333333,0.0,5.644444444444445,0.3014368881389009
0.06,76.83000266551971,0.20518392198287844,6885670613.333333,0.0,5.333333333333334,8.881784197001252e-16
0.065,76.97000324726105,0.5848930004282962,6885670613.333333,0.0,5.466666666666667,0.2666666666666668
0.07,77.25000381469727,0.35566757644858504,6885670613.333333,0.0,5.4,0.10183501544346316
0.075,76.89000427722931,0.492849869072627,6885670613.333333,0.0,5.4,0.2000000000000001
0.08,76.56000316143036,0.4199993610403227,6885670613.333333,0.0,5.4,0.2000000000000001
0.085,76.87000334262848,0.467012758680451,6885670613.333333,0.0,5.4,0.2000000000000001
0.09,77.05000340938568,0.5371229237486247,6885670613.333333,0.0,5.4,0.10183501544346316
0.095,76.81000351905823,0.4846651722680397,6885670613.333333,0.0,5.466666666666667,0.2666666666666668
0.1,77.51000344753265,0.6729788239875605,6885670613.333333,0.0,5.666666666666666,0.28544961285922527
