Bit Widths,Accuracy,Std. Dev.,Average Bit Width,Estimated Bit Operation Precision
"[2, 2, 2, 2, 2, 2, 2, 2, 2]",44.73333458105723,10.84353456339988,2.0,1.005492736
"[2, 2, 2, 2, 2, 2, 2, 2, 4]",49.93333617846171,1.600694620827675,2.2222222222222223,1.005890656
"[2, 2, 2, 2, 2, 2, 2, 2, 8]",49.26667014757792,2.9555984312211128,2.6666666666666665,1.006686496
"[2, 2, 2, 2, 2, 2, 2, 4, 2]",40.40000140666962,9.598263632352483,2.2222222222222223,1.005492736
"[2, 2, 2, 2, 2, 2, 2, 4, 4]",51.800002654393516,1.3880433505056402,2.4444444444444446,1.005890656
"[2, 2, 2, 2, 2, 2, 2, 4, 8]",49.400001764297485,0.6377044175470827,2.888888888888889,1.006686496
"[2, 2, 2, 2, 2, 2, 2, 8, 2]",36.10000113646189,9.684351446585312,2.6666666666666665,1.005492736
"[2, 2, 2, 2, 2, 2, 2, 8, 4]",51.233336329460144,2.524986775576685,2.888888888888889,1.005890656
"[2, 2, 2, 2, 2, 2, 2, 8, 8]",49.63333606719971,3.41792754594477,3.3333333333333335,1.006686496
"[2, 2, 2, 2, 2, 2, 4, 2, 2]",42.46666729450226,8.696487136990635,2.2222222222222223,1.007919104
"[2, 2, 2, 2, 2, 2, 4, 2, 4]",50.43333570162455,1.966947815352459,2.4444444444444446,1.008317024
"[2, 2, 2, 2, 2, 2, 4, 2, 8]",52.90000140666962,4.121488031361663,2.888888888888889,1.009112864
"[2, 2, 2, 2, 2, 2, 4, 4, 2]",40.66666861375173,6.882989504642192,2.4444444444444446,1.007919104
"[2, 2, 2, 2, 2, 2, 4, 4, 4]",50.90000430742899,0.7257188215125574,2.6666666666666665,1.008317024
"[2, 2, 2, 2, 2, 2, 4, 4, 8]",53.80000174045563,3.329663996417421,3.111111111111111,1.009112864
"[2, 2, 2, 2, 2, 2, 4, 8, 2]",42.43333637714386,6.188341552028069,2.888888888888889,1.007919104
"[2, 2, 2, 2, 2, 2, 4, 8, 4]",52.23333636919657,0.9809287207391135,3.111111111111111,1.008317024
"[2, 2, 2, 2, 2, 2, 4, 8, 8]",50.10000169277191,5.818933701201991,3.5555555555555554,1.009112864
"[2, 2, 2, 2, 2, 2, 8, 2, 2]",41.700002551078796,7.495778234752004,2.6666666666666665,1.01277184
"[2, 2, 2, 2, 2, 2, 8, 2, 4]",54.86666957537333,2.6787223038060977,2.888888888888889,1.01316976
"[2, 2, 2, 2, 2, 2, 8, 2, 8]",49.56666827201843,1.759418389293851,3.3333333333333335,1.0139656
"[2, 2, 2, 2, 2, 2, 8, 4, 2]",46.70000274976095,6.01498218976101,2.888888888888889,1.01277184
"[2, 2, 2, 2, 2, 2, 8, 4, 4]",51.433335741360985,8.624511763656702,3.111111111111111,1.01316976
"[2, 2, 2, 2, 2, 2, 8, 4, 8]",57.40000208218893,4.108526854893362,3.5555555555555554,1.0139656
"[2, 2, 2, 2, 2, 2, 8, 8, 2]",50.400002797444664,6.631743023923421,3.3333333333333335,1.01277184
"[2, 2, 2, 2, 2, 2, 8, 8, 4]",52.933335304260254,1.096460474317562,3.5555555555555554,1.01316976
"[2, 2, 2, 2, 2, 2, 8, 8, 8]",61.06666922569275,4.784233370339872,4.0,1.0139656
"[2, 2, 2, 2, 2, 4, 2, 2, 2]",44.86666917800903,8.890570121347078,2.2222222222222223,1.007919104
"[2, 2, 2, 2, 2, 4, 2, 2, 4]",64.76667126019795,2.0072101786978913,2.4444444444444446,1.008317024
"[2, 2, 2, 2, 2, 4, 2, 2, 8]",67.10000236829121,1.4445309826208363,2.888888888888889,1.009112864
"[2, 2, 2, 2, 2, 4, 2, 4, 2]",37.30000058809916,2.513961054665945,2.4444444444444446,1.007919104
"[2, 2, 2, 2, 2, 4, 2, 4, 4]",62.13333606719971,2.123413894468693,2.6666666666666665,1.008317024
"[2, 2, 2, 2, 2, 4, 2, 4, 8]",66.8333371480306,1.0872992212094044,3.111111111111111,1.009112864
"[2, 2, 2, 2, 2, 4, 2, 8, 2]",40.333334604899086,11.54046040581238,2.888888888888889,1.007919104
"[2, 2, 2, 2, 2, 4, 2, 8, 4]",65.70000251134236,1.55777577848311,3.111111111111111,1.008317024
"[2, 2, 2, 2, 2, 4, 2, 8, 8]",67.60000387827556,0.7788892922054296,3.5555555555555554,1.009112864
"[2, 2, 2, 2, 2, 4, 4, 2, 2]",39.366668462753296,1.5542064417915595,2.4444444444444446,1.010345472
"[2, 2, 2, 2, 2, 4, 4, 2, 4]",61.96666955947876,2.639865448089328,2.6666666666666665,1.010743392
"[2, 2, 2, 2, 2, 4, 4, 2, 8]",67.90000398953755,0.7257160837809644,3.111111111111111,1.011539232
"[2, 2, 2, 2, 2, 4, 4, 4, 2]",40.00000158945719,3.56931376794836,2.6666666666666665,1.010345472
"[2, 2, 2, 2, 2, 4, 4, 4, 4]",64.33333555857341,1.8190357267842119,2.888888888888889,1.010743392
"[2, 2, 2, 2, 2, 4, 4, 4, 8]",66.73333446184795,4.112042370101868,3.3333333333333335,1.011539232
"[2, 2, 2, 2, 2, 4, 4, 8, 2]",39.40000136693319,6.164955657341717,3.111111111111111,1.010345472
"[2, 2, 2, 2, 2, 4, 4, 8, 4]",64.73333438237508,1.701633595659979,3.3333333333333335,1.010743392
"[2, 2, 2, 2, 2, 4, 4, 8, 8]",67.16667016347249,6.111374169275153,3.7777777777777777,1.011539232
"[2, 2, 2, 2, 2, 4, 8, 2, 2]",46.866669257481895,8.993826479539376,2.888888888888889,1.015198208
"[2, 2, 2, 2, 2, 4, 8, 2, 4]",63.66666952768961,1.3424688843396564,3.111111111111111,1.015596128
"[2, 2, 2, 2, 2, 4, 8, 2, 8]",63.96666765213013,3.895581336481655,3.5555555555555554,1.016391968
"[2, 2, 2, 2, 2, 4, 8, 4, 2]",49.333335955937706,1.2283693915457807,3.111111111111111,1.015198208
"[2, 2, 2, 2, 2, 4, 8, 4, 4]",65.20000298817952,0.7788880167859031,3.3333333333333335,1.015596128
"[2, 2, 2, 2, 2, 4, 8, 4, 8]",68.93333594004314,0.12472296215260575,3.7777777777777777,1.016391968
"[2, 2, 2, 2, 2, 4, 8, 8, 2]",52.83333659172058,8.938431294492643,3.5555555555555554,1.015198208
"[2, 2, 2, 2, 2, 4, 8, 8, 4]",64.6333356698354,0.8993806450411691,3.7777777777777777,1.015596128
"[2, 2, 2, 2, 2, 4, 8, 8, 8]",68.03333759307861,1.0402997144615798,4.222222222222222,1.016391968
"[2, 2, 2, 2, 2, 8, 2, 2, 2]",36.70000036557516,12.267843945562838,2.6666666666666665,1.01277184
"[2, 2, 2, 2, 2, 8, 2, 2, 4]",65.2666707833608,0.7760319945178589,2.888888888888889,1.01316976
"[2, 2, 2, 2, 2, 8, 2, 2, 8]",69.66667175292969,0.40276860427701494,3.3333333333333335,1.0139656
"[2, 2, 2, 2, 2, 8, 2, 4, 2]",41.60000185171763,4.961855097616014,2.888888888888889,1.01277184
"[2, 2, 2, 2, 2, 8, 2, 4, 4]",66.23333692550659,1.247217939483797,3.111111111111111,1.01316976
"[2, 2, 2, 2, 2, 8, 2, 4, 8]",70.63333590825398,0.36817881713422174,3.5555555555555554,1.0139656
"[2, 2, 2, 2, 2, 8, 2, 8, 2]",36.466669042905174,4.461190940485256,3.3333333333333335,1.01277184
"[2, 2, 2, 2, 2, 8, 2, 8, 4]",65.6000018119812,0.7348471953700899,3.5555555555555554,1.01316976
"[2, 2, 2, 2, 2, 8, 2, 8, 8]",70.20000219345093,1.959590898753951,4.0,1.0139656
"[2, 2, 2, 2, 2, 8, 4, 2, 2]",43.16666920979818,3.0944389547150974,2.888888888888889,1.015198208
"[2, 2, 2, 2, 2, 8, 4, 2, 4]",62.43333419164022,0.36817881713422174,3.111111111111111,1.015596128
"[2, 2, 2, 2, 2, 8, 4, 2, 8]",69.46666836738586,0.1699678563935886,3.5555555555555554,1.016391968
"[2, 2, 2, 2, 2, 8, 4, 4, 2]",39.80000217755636,6.613623541656131,3.111111111111111,1.015198208
"[2, 2, 2, 2, 2, 8, 4, 4, 4]",65.93333681424458,0.9741095881390773,3.3333333333333335,1.015596128
"[2, 2, 2, 2, 2, 8, 4, 4, 8]",70.16666928927104,0.6599674658696233,3.7777777777777777,1.016391968
"[2, 2, 2, 2, 2, 8, 4, 8, 2]",44.3666676680247,5.409456732974979,3.5555555555555554,1.015198208
"[2, 2, 2, 2, 2, 8, 4, 8, 4]",67.20000505447388,0.8164958022559073,3.7777777777777777,1.015596128
"[2, 2, 2, 2, 2, 8, 4, 8, 8]",70.8666702111562,1.3888449694156615,4.222222222222222,1.016391968
"[2, 2, 2, 2, 2, 8, 8, 2, 2]",48.033334811528526,3.4422210542422693,3.3333333333333335,1.020050944
"[2, 2, 2, 2, 2, 8, 8, 2, 4]",63.600003719329834,2.4179888951336164,3.5555555555555554,1.020448864
"[2, 2, 2, 2, 2, 8, 8, 2, 8]",69.13333535194397,1.1813351492278656,4.0,1.021244704
"[2, 2, 2, 2, 2, 8, 8, 4, 2]",50.100002686182656,8.665256808731604,3.5555555555555554,1.020050944
"[2, 2, 2, 2, 2, 8, 8, 4, 4]",66.03333751360576,0.26246632556890703,3.7777777777777777,1.020448864
"[2, 2, 2, 2, 2, 8, 8, 4, 8]",70.43333649635315,0.6018486269468349,4.222222222222222,1.021244704
"[2, 2, 2, 2, 2, 8, 8, 8, 2]",46.333335836728416,1.078063774643363,4.0,1.020050944
"[2, 2, 2, 2, 2, 8, 8, 8, 4]",66.10000332196553,1.0677080351058381,4.222222222222222,1.020448864
"[2, 2, 2, 2, 2, 8, 8, 8, 8]",69.9666698773702,1.3274871048248311,4.666666666666667,1.021244704
"[2, 2, 2, 2, 4, 2, 2, 2, 2]",34.70000127951304,3.4292856371156253,2.2222222222222223,1.012310432
"[2, 2, 2, 2, 4, 2, 2, 2, 4]",50.46666959921519,6.588035662614299,2.4444444444444446,1.012708352
"[2, 2, 2, 2, 4, 2, 2, 2, 8]",47.93333609898885,2.1452788486545398,2.888888888888889,1.013504192
"[2, 2, 2, 2, 4, 2, 2, 4, 2]",39.200000961621605,8.117059196214552,2.4444444444444446,1.012310432
"[2, 2, 2, 2, 4, 2, 2, 4, 4]",50.56666930516561,2.9825424096036564,2.6666666666666665,1.012708352
"[2, 2, 2, 2, 4, 2, 2, 4, 8]",47.666667898495994,3.441252383466805,3.111111111111111,1.013504192
"[2, 2, 2, 2, 4, 2, 2, 8, 2]",43.66666773955027,2.978068265833745,2.888888888888889,1.012310432
"[2, 2, 2, 2, 4, 2, 2, 8, 4]",49.50000246365865,0.734845978695709,3.111111111111111,1.012708352
"[2, 2, 2, 2, 4, 2, 2, 8, 8]",42.433335383733116,13.400083353920495,3.5555555555555554,1.013504192
"[2, 2, 2, 2, 4, 2, 4, 2, 2]",37.73333430290222,8.251195768016862,2.4444444444444446,1.0147368
"[2, 2, 2, 2, 4, 2, 4, 2, 4]",45.46666840712229,3.4893482192815504,2.6666666666666665,1.01513472
"[2, 2, 2, 2, 4, 2, 4, 2, 8]",49.53333636124929,4.320751090264857,3.111111111111111,1.01593056
"[2, 2, 2, 2, 4, 2, 4, 4, 2]",45.933334032694496,11.947756439482694,2.6666666666666665,1.0147368
"[2, 2, 2, 2, 4, 2, 4, 4, 4]",50.100002686182656,0.9273610508473689,2.888888888888889,1.01513472
"[2, 2, 2, 2, 4, 2, 4, 4, 8]",47.333335876464844,2.6599920070819043,3.3333333333333335,1.01593056
"[2, 2, 2, 2, 4, 2, 4, 8, 2]",36.066668232282005,9.396572517251794,3.111111111111111,1.0147368
"[2, 2, 2, 2, 4, 2, 4, 8, 4]",47.50000238418579,1.9815816142465619,3.3333333333333335,1.01513472
"[2, 2, 2, 2, 4, 2, 4, 8, 8]",48.93333613872528,2.4143098632979303,3.7777777777777777,1.01593056
"[2, 2, 2, 2, 4, 2, 8, 2, 2]",54.033335049947105,2.9170010451335977,2.888888888888889,1.019589536
"[2, 2, 2, 2, 4, 2, 8, 2, 4]",52.70000100135803,3.2782111133263205,3.111111111111111,1.019987456
"[2, 2, 2, 2, 4, 2, 8, 2, 8]",53.46666773160299,5.847695814129296,3.5555555555555554,1.020783296
"[2, 2, 2, 2, 4, 2, 8, 4, 2]",47.06666866938273,6.950460262670745,3.111111111111111,1.019589536
